
8020,Priority,Product title,Product variant title,Product variant SKU,Lifecycle,Product variant ID
80,1,BHP Tackle - Wind-On Jigs,Bench Wind-On Jig,BHPJ-1,,45063729774790
80,1,BHP Tackle - Wind-On Jigs,Portable Wind-On Jig,BHPJ-2,,45063729807558
80,1,BKK - Lone Diablo,5/0 - 4pk,A-ES-8965,,41387877925062
80,1,BKK - Lone Diablo,3/0 - 6pk,A-ES-8963,,41941523235014
80,1,BKK - Lone Diablo,7/0 - 4pk,A-ES-8967,,41387877957830
80,1,BKK - Lone Diablo,4/0 - 5pk,A-ES-8964,,41387874975942
80,1,BKK - Lone Diablo,9/0 - 3pk,A-ES-8969,,41387877990598
80,1,BKK - Lone Diablo,11/0 - 3pk,A-ES-8971,,42855459815622
80,1,BKK - Lone Diablo,2/0 - 6pk,A-ES-8962,,41791760302278
80,1,BKK - Lone Diablo,1/0 - 6pk,A-ES-8961,,41791763513542
80,1,BKK - Lone Diablo,13/0 - 2pk,A-ES-8973,,41791806275782
80,1,BKK - Lone Diablo,#1 - 8pk,A-ES-8960,,42316529270982
80,1,BKK - Monster Circle,12/0 - 3pk,A-BR-5516,,41387547197638
80,1,BKK - Monster Circle,14/0 - 2pk,A-BR-5519,,42506517217478
80,1,BKK - Monster Circle,8/0 - 5pk,A-BR-5512,,42506517184710
80,1,BKK - Monster Circle,10/0 - 4pk,A-BR-5514,,41387547164870
,1,BKK - Monster Circle,6/0 - 5pk,A-BR-5510,,44024257773766
80,1,BKK - Monster Circle Drifting Special,8/0 - 2pk,A-BR-5612,,42506517741766
80,1,BKK - Monster Circle Drifting Special,10/0 - 2pk,A-BR-5614,,41387799216326
80,1,BKK - Raptor-Z Treble Hooks,3/0 - 6pk,A-ET-6751,,41388272156870
80,1,BKK - Raptor-Z Treble Hooks,4/0 - 5pk,A-ET-6752,,41388272189638
80,1,BKK - Raptor-Z Treble Hooks,2/0 - 5pk,A-ET-6750,,41388272124102
80,1,BKK - Raptor-Z Treble Hooks,1/0 - 6pk,A-ET-6749,,41388272091334
80,1,BKK - Raptor-Z Treble Hooks,1# - 6pk,A-ET-6748,,41388272058566
80,1,BKK - Titanrider Swim Bait Hooks,8/0 - 3pk,A-EW-9617,,42541409796294
80,1,BKK - Titanrider Swim Bait Hooks,4/0 - 4pk,A-EW-9613,,42541409730758
80,1,BKK - Titanrider Swim Bait Hooks,10/0 - 3pk,A-EW-9619,,42855673921734
80,1,BKK - Titanrider Swim Bait Hooks,6/0 - 3pk,A-EW-9615,,42541409763526
80,1,BKK - Titanrider Swim Bait Hooks,5/0 - 3pk,A-EW-9614,,42855673888966
80,1,BKK - Titanrider Swim Bait Hooks,3/0 - 5pk,A-EW-9612,,42855673856198
80,1,Black Magic - Equalizer Twin Pin Pro Harness Sets,Standard,GIMKITTPPSTD,,37974960210118
80,1,Black Magic - Equalizer Twin Pin Pro Harness Sets,X-Large,GIMKITTPPXL,,37974960242886
80,1,Blue Water Candy - 6in Shad Umbrella Rigs,"15"" 4-Arm with Parachute Chaser / White",01516-6,,41681851252934
,1,Blue Water Candy - 6in Shad Umbrella Rigs,"15"" 4-Arm with Parachute Chaser / Chartreuse",01509-8,,41681851285702
80,1,Blue Water Candy - Striperbrella,"15"" 4-Arm with Parachute Chaser / White",00416-0,,41681836867782
80,1,Blue Water Candy - Striperbrella,"15"" 4-Arm with Parachute Chaser / Chartreuse",00409-2,,41681836835014
80,1,Boomerang - The Snip Retractable Line Cutters,Original Snip,BTC203,Buy - Standard,32473434423367
80,1,Boomerang - The Snip Retractable Line Cutters,LED Snip,BTC204,Buy - Standard,13664777011242
80,1,Boomerang - The Snip Retractable Line Cutters,The Long Snip,BTC243,Buy - Standard,40215137386694
80,1,Boomerang - The Snip Retractable Line Cutters,The BIG Snip,BTC205,Buy - Standard,39467641176262
80,1,Boston Big Game - Fishing Kite,Default Title,BBGKITE,,12390670204970
80,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Left / Joker,CARL18STL-JOKR,Full Price Until Gone,42459251704006
80,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Right / Joker,CARL18STR-JOKR,Full Price Until Gone,42459251736774
80,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Right / Zucchini,CARL18STR-ZUC,Full Price Until Gone,32429728858183
80,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Left / Zucchini,CARL18STL-ZUC,Full Price Until Gone,32429728628807
80,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Left / Herring,CARL18STL-HER,Fixed Clearance,32429728563271
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Right / Black with Red Vein,CARL18STR-BLR,Full Price Until Gone,32429728759879
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Left / Blue Mackerel,CARL18STL-BLM,Full Price Until Gone,32429728694343
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Left / Green Mackerel,CARL18STL-GRM,Full Price Until Gone,32429728661575
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Left / Halloween,CARL18STL-HAL,Full Price Until Gone,32429728727111
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Right / Green Mackerel,CARL18STR-GRM,Full Price Until Gone,32429728890951
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Right / Pink,CARL18STR-PNK,Full Price Until Gone,32429728825415
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Right / Blue Mackerel,CARL18STR-BLM,Full Price Until Gone,32429728923719
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Right / Herring,CARL18STR-HER,Full Price Until Gone,32429728792647
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Left / Pink,CARL18STL-PNK,Full Price Until Gone,32429728596039
,1,Carlson - 18in Wide-Trackers - 9in Fuku Squids w/ 11in Fuku Stingers,Right / Rainbow,CARL18STR-RBW,Full Price Until Gone,38087268499654
,1,Carlson - 36in Canyon Bar - 6in Hard Heads,Pink/White,CARL36HH-PNKWHT,Buy - Standard,32431345500231
,1,Carlson - 36in Canyon Bar - 6in Hard Heads,Zucchini,CARL36HH-ZUC,Buy - Standard,32431345532999
,1,Carlson - 36in Canyon Bar - 6in Hard Heads,Green,CARL36HH-GRN,Buy - Standard,32431345401927
,1,Carlson - 36in Canyon Bar - 6in Hard Heads,Purple/Black,CARL36HH-PURBLK,Buy - Standard,32431345467463
,1,Carlson - 36in Canyon Bar - 6in Hard Heads,Parrot,CARL36HH-PAR,Fixed Clearance,41580333957318
,1,Carlson - 36in Giant Tuna Spreader Bars - 13in Fuku Squids (No Birds),Green Mackerel,CARL36-13-GMAC,,32422843220039
80,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Joker,CARL36SB-11-JOKR,Buy - Standard,42461950607558
80,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Herring,CARL36SB-11-HER,Buy - Standard,42461950378182
80,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Pink,CARL36SB-11-PNK,Buy - Standard,42461950574790
80,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Green Mackerel,CARL36SB-11-GRNMAC,Buy - Standard,42461950410950
,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Blue Mackerel (Glow),CARL36SB-11-BLM,Buy - Standard,42461950476486
,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Halloween,CARL36SB-11-HAL,Buy - Standard,42461950443718
,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Black w/ Red Vein,CARL36SB-11-BLKRV,Buy - Standard,42461950312646
,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Brown/Orange,CARL36SB-11-BRWNOR,Fixed Clearance,42461950542022
,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Natural,CARL36SB-11-NAT,Fixed Clearance,42461950509254
,1,Carlson - 36in Splash Bars - 11in Fuku Squids,Wine,CARL36SB-11-WINE,Buy - Standard,42461950345414
80,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Zucchini,CARL36SB-9-ZUC,Buy - Standard,32422848987207
80,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Sand Eel,CARL36SB-9-SANDEEL,Buy - Standard,43988593410246
80,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Herring,CARL36SB-9-HER,Buy - Standard,32422849085511
80,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Blue Mackerel (Glow),CARL36SB-9-BLM,Buy - Standard,32422849052743
80,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Joker,CARL36SB-9-JOKR,Buy - Standard,42449392173254
80,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Green Mackerel,CARL36SB-9-GRNMAC,Buy - Standard,40596999798982
80,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Wine,CARL36SB-9-WINE,Buy - Standard,38087171899590
80,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Black w/ Red Vein,CARL36SB-9-BLKRV,Buy - Standard,38087195197638
,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Rainbow,CARL36SB-9-RBW,Buy - Standard,38087176519878
,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Pink,CARL36SB-9-PNK,Buy - Standard,32422848954439
,1,Carlson - 36in Splash Bars - 9in Fuku Squids,Purple Glitter,CARL36SB-9-PURGLIT,Buy - Standard,38087200866502
,1,Carlson - 36in Splash Bars - 9in Fuku Squids,White,CARL36SB-9-WHT,Buy - Standard,38087190479046
